point,temperature,humidity
강릉,21.5,88
강진군,22.3,98
강화,19.5,99
거제,23.7,84
거창,19.6,98
경주시,20.5,96
고산,23.6,98
고창,21.7,94
고창군,21.6,96
고흥,22.8,82
광양시,23.1,80
광주,23.0,99
구미,20.5,90
군산,22.3,95
금산,20.5,98
김해시,23.1,84
남원,21.5,94
남해,21.8,89
대관령,16.3,95
대구,21.8,96
대전,22.2,89
동두천,19.7,95
동해,20.6,97
목포,22.3,96
문경,20.1,97
밀양,22.1,85
백령도,19.6,90
보령,22.6,87
보성군,21.9,97
보은,20.1,98
봉화,18.2,95
부산,23.7,84
부안,22.2,96
부여,22.3,92
북강릉,19.6,94
북창원,22.8,90
북춘천,19.7,98
산청,20.2,100
상주,20.5,94
서귀포,24.6,87
서산,21.8,89
서울,23.0,80
성산,24.6,91
세종,22.4,90
속초,20.1,91
수원,22.2,89
순창군,21.4,98
순천,20.6,97
안동,20.2,91
양산시,24.4,84
양평,21.1,93
여수,23.4,80
영광군,21.7,95
영덕,19.3,95
영월,19.7,95
영주,19.4,97
영천,20.2,97
완도,22.9,92
울릉도,20.5,96
울산,22.4,90
울진,20.1,94
원주,21.9,86
의령군,20.3,97
의성,19.9,100
이천,21.1,98
인제,19.2,94
인천,22.5,78
임실,20.4,97
장수,19.6,100
장흥,21.6,99
전주,22.3,92
정선군,19.3,92
정읍,21.5,95
제주,24.1,92
제천,19.4,100
진도군,21.9,98
진주,21.2,92
창원,22.7,81
천안,21.2,99
철원,19.0,97
청송군,18.7,90
청주,23.6,87
추풍령,19.3,91
춘천,21.5,99
충주,21.7,93
태백,16.7,91
통영,23.9,88
파주,19.5,100
포항,21.9,91
함양군,19.8,93
합천,20.1,96
해남,22.3,99
홍성,21.8,96
홍천,20.2,94
흑산도,20.7,99
