Time, point, temperature, humidity
2022.09.13.00:00,강릉,21.5,88
2022.09.13.00:00,강진군,22.3,98
2022.09.13.00:00,강화,19.5,99
2022.09.13.00:00,거제,23.7,84
2022.09.13.00:00,거창,19.6,98
2022.09.13.00:00,경주시,20.5,96
2022.09.13.00:00,고산,23.6,98
2022.09.13.00:00,고창,21.7,94
2022.09.13.00:00,고창군,21.6,96
2022.09.13.00:00,고흥,22.8,82
2022.09.13.00:00,광양시,23.1,80
2022.09.13.00:00,광주,23.0,99
2022.09.13.00:00,구미,20.5,90
2022.09.13.00:00,군산,22.3,95
2022.09.13.00:00,금산,20.5,98
2022.09.13.00:00,김해시,23.1,84
2022.09.13.00:00,남원,21.5,94
2022.09.13.00:00,남해,21.8,89
2022.09.13.00:00,대관령,16.3,95
2022.09.13.00:00,대구,21.8,96
2022.09.13.00:00,대전,22.2,89
2022.09.13.00:00,동두천,19.7,95
2022.09.13.00:00,동해,20.6,97
2022.09.13.00:00,목포,22.3,96
2022.09.13.00:00,문경,20.1,97
2022.09.13.00:00,밀양,22.1,85
2022.09.13.00:00,백령도,19.6,90
2022.09.13.00:00,보령,22.6,87
2022.09.13.00:00,보성군,21.9,97
2022.09.13.00:00,보은,20.1,98
2022.09.13.00:00,봉화,18.2,95
2022.09.13.00:00,부산,23.7,84
2022.09.13.00:00,부안,22.2,96
2022.09.13.00:00,부여,22.3,92
2022.09.13.00:00,북강릉,19.6,94
2022.09.13.00:00,북창원,22.8,90
2022.09.13.00:00,북춘천,19.7,98
2022.09.13.00:00,산청,20.2,100
2022.09.13.00:00,상주,20.5,94
2022.09.13.00:00,서귀포,24.6,87
2022.09.13.00:00,서산,21.8,89
2022.09.13.00:00,서울,23.0,80
2022.09.13.00:00,성산,24.6,91
2022.09.13.00:00,세종,22.4,90
2022.09.13.00:00,속초,20.1,91
2022.09.13.00:00,수원,22.2,89
2022.09.13.00:00,순창군,21.4,98
2022.09.13.00:00,순천,20.6,97
2022.09.13.00:00,안동,20.2,91
2022.09.13.00:00,양산시,24.4,84
2022.09.13.00:00,양평,21.1,93
2022.09.13.00:00,여수,23.4,80
2022.09.13.00:00,영광군,21.7,95
2022.09.13.00:00,영덕,19.3,95
2022.09.13.00:00,영월,19.7,95
2022.09.13.00:00,영주,19.4,97
2022.09.13.00:00,영천,20.2,97
2022.09.13.00:00,완도,22.9,92
2022.09.13.00:00,울릉도,20.5,96
2022.09.13.00:00,울산,22.4,90
2022.09.13.00:00,울진,20.1,94
2022.09.13.00:00,원주,21.9,86
2022.09.13.00:00,의령군,20.3,97
2022.09.13.00:00,의성,19.9,100
2022.09.13.00:00,이천,21.1,98
2022.09.13.00:00,인제,19.2,94
2022.09.13.00:00,인천,22.5,78
2022.09.13.00:00,임실,20.4,97
2022.09.13.00:00,장수,19.6,100
2022.09.13.00:00,장흥,21.6,99
2022.09.13.00:00,전주,22.3,92
2022.09.13.00:00,정선군,19.3,92
2022.09.13.00:00,정읍,21.5,95
2022.09.13.00:00,제주,24.1,92
2022.09.13.00:00,제천,19.4,100
2022.09.13.00:00,진도군,21.9,98
2022.09.13.00:00,진주,21.2,92
2022.09.13.00:00,창원,22.7,81
2022.09.13.00:00,천안,21.2,99
2022.09.13.00:00,철원,19.0,97
2022.09.13.00:00,청송군,18.7,90
2022.09.13.00:00,청주,23.6,87
2022.09.13.00:00,추풍령,19.3,91
2022.09.13.00:00,춘천,21.5,99
2022.09.13.00:00,충주,21.7,93
2022.09.13.00:00,태백,16.7,91
2022.09.13.00:00,통영,23.9,88
2022.09.13.00:00,파주,19.5,100
2022.09.13.00:00,포항,21.9,91
2022.09.13.00:00,함양군,19.8,93
2022.09.13.00:00,합천,20.1,96
2022.09.13.00:00,해남,22.3,99
2022.09.13.00:00,홍성,21.8,96
2022.09.13.00:00,홍천,20.2,94
2022.09.13.00:00,흑산도,20.7,99
